Log file created at  2020-11-24 14:23:37
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='PAC_Bayes_variational_role', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Shuffled_Pixels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='FcNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/ShuffledPixels200_TasksN/10', run_name='ShuffledPixels200_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-FcNet3
---- Meta-Training set: 10 tasks
(34.7%)	Epoch: 17 	 Batch: 100 	 Objective: 0.9314 	  Acc: 0.986	 Empiric-Loss: 0.03654	 Task-Comp. 0.1242	 Meta-Comp.: 0.7707
(35.0%)	Epoch: 17 	 Batch: 150 	 Objective: 0.9281 	  Acc: 0.988	 Empiric-Loss: 0.03787	 Task-Comp. 0.1204	 Meta-Comp.: 0.7698
(35.4%)	Epoch: 17 	 Batch: 200 	 Objective: 0.9121 	  Acc: 0.991	 Empiric-Loss: 0.02747	 Task-Comp. 0.1156	 Meta-Comp.: 0.769
(35.7%)	Epoch: 17 	 Batch: 250 	 Objective: 0.94 	  Acc: 0.983	 Empiric-Loss: 0.04401	 Task-Comp. 0.1279	 Meta-Comp.: 0.7681
(36.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.91 	  Acc: 0.989	 Empiric-Loss: 0.02643	 Task-Comp. 0.1162	 Meta-Comp.: 0.7674
(36.3%)	Epoch: 18 	 Batch: 50 	 Objective: 0.9054 	  Acc: 0.99	 Empiric-Loss: 0.02691	 Task-Comp. 0.1119	 Meta-Comp.: 0.7666
(36.7%)	Epoch: 18 	 Batch: 100 	 Objective: 0.9057 	  Acc: 0.993	 Empiric-Loss: 0.02612	 Task-Comp. 0.1139	 Meta-Comp.: 0.7658
(37.0%)	Epoch: 18 	 Batch: 150 	 Objective: 0.9188 	  Acc: 0.99	 Empiric-Loss: 0.03279	 Task-Comp. 0.1211	 Meta-Comp.: 0.765
(37.4%)	Epoch: 18 	 Batch: 200 	 Objective: 0.9282 	  Acc: 0.984	 Empiric-Loss: 0.04532	 Task-Comp. 0.1188	 Meta-Comp.: 0.7641
(37.7%)	Epoch: 18 	 Batch: 250 	 Objective: 0.8982 	  Acc: 0.991	 Empiric-Loss: 0.02667	 Task-Comp. 0.1082	 Meta-Comp.: 0.7634
